customization_option_id,product_id,customization_type,description_zh,description_en,price_impact,extra_lead_days,enabled,is_demo,demo_disclaimer,commercial_data_status
custopt_demo_008_packaging,prod_demo_008,packaging,可选择礼盒、贺卡和双语说明卡组合，材料与运输适配需确认。,"Gift box, greeting card, and bilingual story-card combinations are available for assessment; materials and shipping fit require confirmation.",possible,2,true,true,MVP演示数据,demo_assumption
custopt_demo_009_inscription,prod_demo_009,inscription,可评估题字或纪念文字，内容、字体、位置与权利需确认。,"Inscription or commemorative text can be assessed; content, typeface, placement, and rights require confirmation.",required_quote,4,true,true,MVP演示数据,demo_assumption
custopt_demo_009_packaging,prod_demo_009,packaging,可选择礼盒、贺卡和双语说明卡组合，材料与运输适配需确认。,"Gift box, greeting card, and bilingual story-card combinations are available for assessment; materials and shipping fit require confirmation.",possible,2,true,true,MVP演示数据,demo_assumption
custopt_demo_010_inscription,prod_demo_010,inscription,可评估题字或纪念文字，内容、字体、位置与权利需确认。,"Inscription or commemorative text can be assessed; content, typeface, placement, and rights require confirmation.",required_quote,4,true,true,MVP演示数据,demo_assumption
custopt_demo_010_pattern,prod_demo_010,pattern,可评估纹样配色与局部构图调整，不复制馆藏原作细节。,Motif colour and partial composition adjustments can be assessed without reproducing the museum object as an original artwork.,required_quote,6,true,true,MVP演示数据,demo_assumption
custopt_demo_010_packaging,prod_demo_010,packaging,可选择礼盒、贺卡和双语说明卡组合，材料与运输适配需确认。,"Gift box, greeting card, and bilingual story-card combinations are available for assessment; materials and shipping fit require confirmation.",possible,2,true,true,MVP演示数据,demo_assumption
custopt_demo_012_inscription,prod_demo_012,inscription,可评估题字或纪念文字，内容、字体、位置与权利需确认。,"Inscription or commemorative text can be assessed; content, typeface, placement, and rights require confirmation.",required_quote,4,true,true,MVP演示数据,demo_assumption
custopt_demo_012_logo,prod_demo_012,logo,可评估在包装、铭牌或附件中加入Logo，图形权利和制作方式需确认。,"A logo may be assessed for packaging, plaques, or accessories; artwork rights and production method require confirmation.",required_quote,5,true,true,MVP演示数据,demo_assumption
custopt_demo_012_pattern,prod_demo_012,pattern,可评估纹样配色与局部构图调整，不复制馆藏原作细节。,Motif colour and partial composition adjustments can be assessed without reproducing the museum object as an original artwork.,required_quote,6,true,true,MVP演示数据,demo_assumption
custopt_demo_012_packaging,prod_demo_012,packaging,可选择礼盒、贺卡和双语说明卡组合，材料与运输适配需确认。,"Gift box, greeting card, and bilingual story-card combinations are available for assessment; materials and shipping fit require confirmation.",possible,2,true,true,MVP演示数据,demo_assumption
custopt_demo_014_inscription,prod_demo_014,inscription,可评估题字或纪念文字，内容、字体、位置与权利需确认。,"Inscription or commemorative text can be assessed; content, typeface, placement, and rights require confirmation.",required_quote,4,true,true,MVP演示数据,demo_assumption
custopt_demo_014_logo,prod_demo_014,logo,可评估在包装、铭牌或附件中加入Logo，图形权利和制作方式需确认。,"A logo may be assessed for packaging, plaques, or accessories; artwork rights and production method require confirmation.",required_quote,5,true,true,MVP演示数据,demo_assumption
custopt_demo_014_pattern,prod_demo_014,pattern,可评估纹样配色与局部构图调整，不复制馆藏原作细节。,Motif colour and partial composition adjustments can be assessed without reproducing the museum object as an original artwork.,required_quote,6,true,true,MVP演示数据,demo_assumption
custopt_demo_014_packaging,prod_demo_014,packaging,可选择礼盒、贺卡和双语说明卡组合，材料与运输适配需确认。,"Gift box, greeting card, and bilingual story-card combinations are available for assessment; materials and shipping fit require confirmation.",possible,2,true,true,MVP演示数据,demo_assumption
custopt_demo_015_inscription,prod_demo_015,inscription,可评估题字或纪念文字，内容、字体、位置与权利需确认。,"Inscription or commemorative text can be assessed; content, typeface, placement, and rights require confirmation.",required_quote,4,true,true,MVP演示数据,demo_assumption
custopt_demo_015_logo,prod_demo_015,logo,可评估在包装、铭牌或附件中加入Logo，图形权利和制作方式需确认。,"A logo may be assessed for packaging, plaques, or accessories; artwork rights and production method require confirmation.",required_quote,5,true,true,MVP演示数据,demo_assumption
custopt_demo_015_pattern,prod_demo_015,pattern,可评估纹样配色与局部构图调整，不复制馆藏原作细节。,Motif colour and partial composition adjustments can be assessed without reproducing the museum object as an original artwork.,required_quote,6,true,true,MVP演示数据,demo_assumption
custopt_demo_015_packaging,prod_demo_015,packaging,可选择礼盒、贺卡和双语说明卡组合，材料与运输适配需确认。,"Gift box, greeting card, and bilingual story-card combinations are available for assessment; materials and shipping fit require confirmation.",possible,2,true,true,MVP演示数据,demo_assumption
custopt_demo_016_inscription,prod_demo_016,inscription,可评估题字或纪念文字，内容、字体、位置与权利需确认。,"Inscription or commemorative text can be assessed; content, typeface, placement, and rights require confirmation.",required_quote,4,true,true,MVP演示数据,demo_assumption
custopt_demo_016_logo,prod_demo_016,logo,可评估在包装、铭牌或附件中加入Logo，图形权利和制作方式需确认。,"A logo may be assessed for packaging, plaques, or accessories; artwork rights and production method require confirmation.",required_quote,5,true,true,MVP演示数据,demo_assumption
custopt_demo_016_packaging,prod_demo_016,packaging,可选择礼盒、贺卡和双语说明卡组合，材料与运输适配需确认。,"Gift box, greeting card, and bilingual story-card combinations are available for assessment; materials and shipping fit require confirmation.",possible,2,true,true,MVP演示数据,demo_assumption
custopt_demo_018_inscription,prod_demo_018,inscription,可评估题字或纪念文字，内容、字体、位置与权利需确认。,"Inscription or commemorative text can be assessed; content, typeface, placement, and rights require confirmation.",required_quote,4,true,true,MVP演示数据,demo_assumption
custopt_demo_018_packaging,prod_demo_018,packaging,可选择礼盒、贺卡和双语说明卡组合，材料与运输适配需确认。,"Gift box, greeting card, and bilingual story-card combinations are available for assessment; materials and shipping fit require confirmation.",possible,2,true,true,MVP演示数据,demo_assumption
custopt_demo_020_inscription,prod_demo_020,inscription,可评估题字或纪念文字，内容、字体、位置与权利需确认。,"Inscription or commemorative text can be assessed; content, typeface, placement, and rights require confirmation.",required_quote,4,true,true,MVP演示数据,demo_assumption
custopt_demo_020_logo,prod_demo_020,logo,可评估在包装、铭牌或附件中加入Logo，图形权利和制作方式需确认。,"A logo may be assessed for packaging, plaques, or accessories; artwork rights and production method require confirmation.",required_quote,5,true,true,MVP演示数据,demo_assumption
custopt_demo_020_packaging,prod_demo_020,packaging,可选择礼盒、贺卡和双语说明卡组合，材料与运输适配需确认。,"Gift box, greeting card, and bilingual story-card combinations are available for assessment; materials and shipping fit require confirmation.",possible,2,true,true,MVP演示数据,demo_assumption
custopt_demo_006_color,prod_demo_006,color,仅作为配色方案评估入口；可用颜色、价格和交期必须由真实商家确认。,"Demo colour assessment only; available colours, price, and lead time require merchant confirmation.",required_quote,7,true,true,MVP演示数据,demo_assumption
custopt_wuhu_iron_inscription,prod_wuhu_iron_guo_dashi,inscription,可评估在作品或衬底加入题字或纪念文字，内容、字体、位置与权利需确认。,"Inscription or commemorative text on the work or mount can be assessed; content, typeface, placement and rights require confirmation.",required_quote,7,true,true,MVP演示数据,demo_assumption
custopt_wuhu_iron_size,prod_wuhu_iron_guo_dashi,size,可评估调整画面与外框尺寸，具体可行范围需由手艺人确认。,The composition and frame size can be assessed for adjustment; the feasible range requires artisan confirmation.,required_quote,14,true,true,MVP演示数据,demo_assumption
custopt_wuhu_iron_packaging,prod_wuhu_iron_guo_dashi,packaging,可评估礼盒与运输包装方案，作品体积较大，方案与费用需确认。,"Gift and transport packaging can be assessed; the work is bulky, so the approach and cost require confirmation.",required_quote,5,true,true,MVP演示数据,demo_assumption
custopt_wuhu_iron_pattern,prod_wuhu_iron_guo_dashi,pattern,可评估调整纹样构图，例如花藤走势、禽鸟姿态与画面留白，需与手艺人确认可行性。,"The composition can be adjusted — vine direction, the bird's posture, the balance of empty ground — subject to artisan confirmation.",required_quote,10,true,true,MVP演示数据,demo_assumption
custopt_wuhu_iron_color,prod_wuhu_iron_guo_dashi,color,可评估锻面处理与色泽，例如黑亮、哑光或局部鎏色，具体效果需打样确认。,"Surface treatment and tone can be assessed, such as gloss black, matte, or partial gilding; the result requires a sample for confirmation.",required_quote,12,true,true,MVP演示数据,demo_assumption
custopt_wuhu_iron_logo,prod_wuhu_iron_guo_dashi,logo,可评估将机构标识锻入画面或衬底，标识使用权与呈现方式需确认。,An organisational mark can be assessed for forging into the work or its mount; usage rights and placement require confirmation.,required_quote,9,true,true,MVP演示数据,demo_assumption
custopt_wuhu_iron_other,prod_wuhu_iron_guo_dashi,other,可评估其他定制需求，例如题材更换、成组配套或装裱形式，需逐项确认。,"Other requests such as a different subject, a matched set, or an alternative mount can be assessed case by case.",required_quote,14,true,true,MVP演示数据,demo_assumption
