research_id,product_id,researched_query,source_url,source_title,source_type,accessed_at,facts_used,facts_not_used,trust_notes,reviewer_status
RES-014,prod_ref_014,Met Open Access object 39626,https://www.metmuseum.org/art/collection/search/39626,Incense holder with scholars in a landscape,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-015,prod_ref_015,Met Open Access object 39855,https://www.metmuseum.org/art/collection/search/39855,Brush Holder with Literary Gathering,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-016,prod_ref_016,Met Open Access object 47879,https://www.metmuseum.org/art/collection/search/47879,Teapot,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-017,prod_ref_017,Met Open Access object 46792,https://www.metmuseum.org/art/collection/search/46792,Double-Sided Teapot with Tree Peonies,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-018,prod_ref_018,Met Open Access object 51184,https://www.metmuseum.org/art/collection/search/51184,Teapot in Shape of a Lotus Plant,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-019,prod_ref_019,Met Open Access object 42323,https://www.metmuseum.org/art/collection/search/42323,Teapot in the Shape of a Plum Blossom,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-020,prod_ref_020,Met Open Access object 460687,https://www.metmuseum.org/art/collection/search/460687,Teapot (a) and saucer (b),museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-021,prod_ref_021,Met Open Access object 712497,https://www.metmuseum.org/art/collection/search/712497,The Water Margin,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-022,prod_ref_022,Met Open Access object 60764,https://www.metmuseum.org/art/collection/search/60764,Landscapes of Taiping Prefecture,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-023,prod_ref_023,Met Open Access object 63375,https://www.metmuseum.org/art/collection/search/63375,Page from Ten Bamboo Studio Manual of Painting and Calligraphy,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-024,prod_ref_024,Met Open Access object 63372,https://www.metmuseum.org/art/collection/search/63372,Leaf from the Ten Bamboo Studio Manual of Painting and Calligraphy,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-025,prod_ref_025,Met Open Access object 912945,https://www.metmuseum.org/art/collection/search/912945,"Wooden chest with print ""Gusu Beauty in Winter"" pasted inside",museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-026,prod_ref_026,Met Open Access object 35993,https://www.metmuseum.org/art/collection/search/35993,Calligraphy,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-027,prod_ref_027,Met Open Access object 65628,https://www.metmuseum.org/art/collection/search/65628,Album of painting and calligraphy for Maoshu,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-028,prod_ref_028,Met Open Access object 49029,https://www.metmuseum.org/art/collection/search/49029,Poem written on Mount Qingliang,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-029,prod_ref_029,Met Open Access object 65630,https://www.metmuseum.org/art/collection/search/65630,Poetic maxim in clerical script,museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
RES-030,prod_ref_030,Met Open Access object 51784,https://www.metmuseum.org/art/collection/search/51784,"Calligraphy: ""Happiness""",museum_open_collection,2026-07-30,title; date; medium; dimensions; image; accession,merchant; price; stock; lead time; customization; shipping,Official museum API and object page; CC0 image flag checked.,source_checked_catalog_reference
