catalog_product_id,demo_product_id,source_object_id,product_name_zh,product_name_en,craft_category_zh,craft_category_en,period_text,region_text,material_text,dimensions_text,introduction_zh,introduction_en,image_path,source_url,image_source_url,source_name,source_object_number,image_license,commercial_status,verification_status
CAT-TEX-001,prod_demo_011,69860,广州外销刺绣帷饰,Chinese Palampore,传统织绣,Chinese embroidery,1750–1800,China (Guangzhou),Silk satin embroidered with silk,274.3 x 228.6 cm,这件十八世纪后半叶广州制作的外销帷饰以丝缎为底并用丝线刺绣，馆藏资料注明其面向欧美市场。它用于展示传统刺绣与跨文化贸易的关系。,This Guangzhou export palampore from 1750–1800 is silk satin embroidered with silk and was made for European or American markets. It illustrates the relationship between embroidery and cross-cultural trade.,assets/catalog/products/met-69860.jpg,https://www.metmuseum.org/art/collection/search/69860,https://collectionapi.metmuseum.org/api/collection/v1/iiif/69860/205814/main-image,The Metropolitan Museum of Art,47.63,CC0 1.0 / Public Domain,museum_reference_not_for_sale,source_verified_2026-07-17
CAT-TEX-002,prod_demo_012,461250,中国丝织拼接面料,Fabric,传统丝织,Chinese silk weaving,18th–19th century,China,Silk,H. 114.2 cm,这件十八至十九世纪中国丝织面料由多块织物拼接构成。目录用它展示历史丝织物的纹样、组合和再利用方式。,"This eighteenth- to nineteenth-century Chinese silk textile is assembled from multiple panels and fragments. It is included as a reference for historic patterning, assembly, and reuse.",assets/catalog/products/met-461250.jpg,https://www.metmuseum.org/art/collection/search/461250,https://collectionapi.metmuseum.org/api/collection/v1/iiif/461250/917459/main-image,The Metropolitan Museum of Art,1975.1.1935,CC0 1.0 / Public Domain,museum_reference_not_for_sale,source_verified_2026-07-17
CAT-TEX-003,prod_demo_013,68527,八仙祝寿刺绣挂屏,Panel with immortals,传统刺绣,Chinese embroidery,18th century,China,Silk and metal thread embroidery on silk satin,H. 184.2 cm; W. 116.8 cm; D. 1.75 cm,这件十八世纪中国挂屏在丝缎上以丝线和金属线刺绣人物主题。馆藏说明将画面与八仙、寿老及祝寿意涵联系起来。,"This eighteenth-century Chinese panel uses silk and metal-thread embroidery on silk satin. The museum relates its figures to the Eight Immortals, Shoulao, and birthday wishes.",assets/catalog/products/met-68527.jpg,https://www.metmuseum.org/art/collection/search/68527,https://collectionapi.metmuseum.org/api/collection/v1/iiif/68527/1870835/main-image,The Metropolitan Museum of Art,30.75.31,CC0 1.0 / Public Domain,museum_reference_not_for_sale,source_verified_2026-07-17
CAT-TEX-004,prod_demo_014,460786,鹤纹红绸织物,Panel with crane pattern,传统丝织,Chinese silk weaving,late 19th–early 20th century,China,Red silk,H. 264.4 cm,这件十九世纪晚期至二十世纪早期的中国红绸织物采用重复鹤纹。馆藏说明将鹤纹与长寿象征联系起来，目录据此保留该文化线索。,"This late-nineteenth- to early-twentieth-century Chinese red silk panel has a repeating crane pattern. The museum identifies the crane as a symbol of longevity, a context retained here.",assets/catalog/products/met-460786.jpg,https://www.metmuseum.org/art/collection/search/460786,https://collectionapi.metmuseum.org/api/collection/v1/iiif/460786/917455/main-image,The Metropolitan Museum of Art,1975.1.1932,CC0 1.0 / Public Domain,museum_reference_not_for_sale,source_verified_2026-07-17
CAT-TEX-005,prod_demo_015,39596,对鸟纹丝绣织物,Textile with confronted birds,传统刺绣,Chinese embroidery,early 8th century,China,Silk embroidery on plain weave silk,31.1 x 30.8 cm,这件八世纪早期中国织物在平纹丝织物上以丝线刺绣成对鸟纹。它用于展示早期织绣中的对称构图与动物纹样。,This early-eighth-century Chinese textile uses silk embroidery on plain-weave silk with a pair of confronted birds. It is a reference for symmetry and animal motifs in early embroidery.,assets/catalog/products/met-39596.jpg,https://www.metmuseum.org/art/collection/search/39596,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39596/151390/main-image,The Metropolitan Museum of Art,1996.103.2,CC0 1.0 / Public Domain,museum_reference_not_for_sale,source_verified_2026-07-17
CAT-JAD-001,prod_demo_016,39637,环形玉龙佩,Knotted dragon pendant,传统玉雕,Chinese jade carving,3rd century BCE,China,Jade,待补充,馆藏页将此件藏品定名为环形玉龙佩，并将其年代列为公元前三世纪。页面将弯曲成环的龙形和绞绳般凹槽作为主要造型特征；尺寸与细分材质待进一步补充。,The museum identifies this object as a knotted dragon pendant from the third century BCE. Its coiled dragon form and rope-like grooves are the key recorded features; dimensions and a more specific material description remain to be added.,assets/catalog/products/met-39637.jpg,https://www.metmuseum.org/art/collection/search/39637,https://collectionapi.metmuseum.org/api/collection/v1/iiif/39637/2226370/main-image,The Metropolitan Museum of Art,待补充,CC0 1.0 / Public Domain,museum_reference_not_for_sale,source_verified_2026-07-17
CAT-JAD-002,prod_demo_017,42102,十二生肖玉雕组,Twelve animals of the Chinese zodiac,传统玉雕,Chinese jade carving,18th–19th century,China,Jade (nephrite),each approx. H. 5.7 cm; W. 4.4 cm,这组十八至十九世纪中国玉雕以软玉制作十二生肖动物。目录用它展示生肖题材在成组小型玉雕中的表达。,This eighteenth- to nineteenth-century Chinese set depicts the twelve zodiac animals in nephrite. It is included as a reference for zodiac themes in small grouped jade carvings.,assets/catalog/products/met-42102.jpg,https://www.metmuseum.org/art/collection/search/42102,https://collectionapi.metmuseum.org/api/collection/v1/iiif/42102/154217/main-image,The Metropolitan Museum of Art,02.18.730a–l,CC0 1.0 / Public Domain,museum_reference_not_for_sale,source_verified_2026-07-17
CAT-JAD-003,prod_demo_018,42154,白玉香盒,Covered box from an incense set,传统玉雕,Chinese jade carving,18th century,China,Jade (nephrite),H. 3.8 cm; Diam. 6.4 cm,这件十八世纪中国白玉盒属于一组香具，以软玉制作。目录用它展示玉雕在成套香事器物中的小型盒式形制。,This eighteenth-century Chinese covered box belongs to an incense set and is carved from nephrite. It is included as a reference for small jade forms within coordinated incense utensils.,assets/catalog/products/met-42154.jpg,https://www.metmuseum.org/art/collection/search/42154,https://collectionapi.metmuseum.org/api/collection/v1/iiif/42154/69201/main-image,The Metropolitan Museum of Art,02.18.538,CC0 1.0 / Public Domain,museum_reference_not_for_sale,source_verified_2026-07-17
CAT-JAD-004,prod_demo_019,42153,白玉带盖香炉,Incense burner with cover,传统玉雕,Chinese jade carving,18th century,China,Jade (nephrite),H. 8.6 cm; Diam. 12.1 cm,这件十八世纪中国带盖香炉以软玉制作，与香盒和小瓶构成一组香具。它用于展示成套玉雕器物的功能与比例关系。,This eighteenth-century Chinese covered incense burner is carved from nephrite and forms part of a set with a box and slender vase. It is a reference for function and proportion in coordinated jade objects.,assets/catalog/products/met-42153.jpg,https://www.metmuseum.org/art/collection/search/42153,https://collectionapi.metmuseum.org/api/collection/v1/iiif/42153/69200/main-image,The Metropolitan Museum of Art,"02.18.537a, b",CC0 1.0 / Public Domain,museum_reference_not_for_sale,source_verified_2026-07-17
CAT-JAD-005,prod_demo_020,41918,童子水牛玉雕,Boy with water buffalo,传统玉雕,Chinese jade carving,18th century,China,Jade (nephrite),H. 13.2 cm; W. 10.6 cm; L. 18.5 cm,这件十八世纪中国软玉雕刻表现童子与水牛。馆藏资料将其置于中国装饰艺术中吉祥象征与视觉双关的传统内，目录据此保留该背景。,This eighteenth-century Chinese nephrite carving depicts a boy with a water buffalo. The museum places it within traditions of auspicious symbols and visual puns in Chinese decorative art.,assets/catalog/products/met-41918.jpg,https://www.metmuseum.org/art/collection/search/41918,https://collectionapi.metmuseum.org/api/collection/v1/iiif/41918/190630/main-image,The Metropolitan Museum of Art,02.18.438,CC0 1.0 / Public Domain,museum_reference_not_for_sale,source_verified_2026-07-17
CAT-REF-001,prod_ref_001,41482,鱼网纹折扇,Folding Fan with Fishing Net Decoration,传统折扇与纸艺馆藏参考,Chinese folding fan references,late 16th–early 17th century,China,Folding fan; ink on gold-flecked paper and gold-flecked lacquered bamboo fan bones and end pieces,11 7/8 × 9 1/2 × 1/2 in. (30.2 × 24.1 × 1.3 cm),大都会艺术博物馆开放馆藏对象，仅作为传统折扇与纸艺馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Chinese folding fan references and visual reference; it is not a sale listing.,assets/catalog/products/met-41482.jpg,https://www.metmuseum.org/art/collection/search/41482,https://images.metmuseum.org/CRDImages/as/web-large/1988_212.JPG,The Metropolitan Museum of Art,1988.212,CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-002,prod_ref_002,51770,折扇,Fan,传统折扇与纸艺馆藏参考,Chinese folding fan references,18th century,China,Folding fan; ink and color on paper,H. (sticks) 12 1/4 in. (31.1 cm); W. (open) 20 in. (50.8 cm),大都会艺术博物馆开放馆藏对象，仅作为传统折扇与纸艺馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Chinese folding fan references and visual reference; it is not a sale listing.,assets/catalog/products/met-51770.jpg,https://www.metmuseum.org/art/collection/search/51770,https://images.metmuseum.org/CRDImages/as/web-large/51_14_149307.JPG,The Metropolitan Museum of Art,51.14,CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-003,prod_ref_003,51536,折扇册页,Fan,传统折扇与纸艺馆藏参考,Chinese folding fan references,Date not specified in museum record,China,Folding fan mounted as an album leaf; gold paper,L. 19 1/2 in. (49.5 cm),大都会艺术博物馆开放馆藏对象，仅作为传统折扇与纸艺馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Chinese folding fan references and visual reference; it is not a sale listing.,assets/catalog/products/met-51536.jpg,https://www.metmuseum.org/art/collection/search/51536,https://images.metmuseum.org/CRDImages/as/web-large/DP156861.jpg,The Metropolitan Museum of Art,19.167,CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-004,prod_ref_004,35990,青崖红枫图折扇,Azure Cliff with Red Maples,传统折扇与纸艺馆藏参考,Chinese folding fan references,dated 1603,China,Folding fan mounted as an album leaf; ink and color on paper,6 3/8 × 18 3/4 in. (16.2 × 47.6 cm),大都会艺术博物馆开放馆藏对象，仅作为传统折扇与纸艺馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Chinese folding fan references and visual reference; it is not a sale listing.,assets/catalog/products/met-35990.jpg,https://www.metmuseum.org/art/collection/search/35990,https://images.metmuseum.org/CRDImages/as/web-large/DP153846.jpg,The Metropolitan Museum of Art,13.100.77,CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-005,prod_ref_005,36000,江景图折扇,River landscape,传统折扇与纸艺馆藏参考,Chinese folding fan references,Date not specified in museum record,China,Folding fan mounted as an album leaf; ink on paper,6 3/8 x 19 3/4 in. (16.2 x 50.2 cm),大都会艺术博物馆开放馆藏对象，仅作为传统折扇与纸艺馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Chinese folding fan references and visual reference; it is not a sale listing.,assets/catalog/products/met-36000.jpg,https://www.metmuseum.org/art/collection/search/36000,https://images.metmuseum.org/CRDImages/as/web-large/DP153851.jpg,The Metropolitan Museum of Art,13.100.89,CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-006,prod_ref_006,40995,青玉印,Seal,中国印章艺术馆藏参考,Chinese seal art references,Date not specified in museum record,China,Green jade,Diam. 4 5/8 in. (11.7 cm),大都会艺术博物馆开放馆藏对象，仅作为中国印章艺术馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Chinese seal art references and visual reference; it is not a sale listing.,assets/catalog/products/met-40995.jpg,https://www.metmuseum.org/art/collection/search/40995,https://images.metmuseum.org/CRDImages/as/web-large/19_19_10_O1.jpg,The Metropolitan Museum of Art,19.19.10,CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-007,prod_ref_007,41006,灰玉印,Seal,中国印章艺术馆藏参考,Chinese seal art references,Date not specified in museum record,China,Gray jade,Diam. 4 in. (10.2 cm),大都会艺术博物馆开放馆藏对象，仅作为中国印章艺术馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Chinese seal art references and visual reference; it is not a sale listing.,assets/catalog/products/met-41006.jpg,https://www.metmuseum.org/art/collection/search/41006,https://images.metmuseum.org/CRDImages/as/web-large/19_19_24_O1.jpg,The Metropolitan Museum of Art,19.19.24,CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-008,prod_ref_008,41055,鲍文玉印,Seal,中国印章艺术馆藏参考,Chinese seal art references,Date not specified in museum record,China,Bowenite,H. 1 3/16 in. (3 cm); W. 5/8 in. (1.6 cm); L. 3 3/16 in. (8.1 cm),大都会艺术博物馆开放馆藏对象，仅作为中国印章艺术馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Chinese seal art references and visual reference; it is not a sale listing.,assets/catalog/products/met-41055.jpg,https://www.metmuseum.org/art/collection/search/41055,https://images.metmuseum.org/CRDImages/as/web-large/27_129_O1.jpg,The Metropolitan Museum of Art,27.129,CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-009,prod_ref_009,41002,玉印,Seal,中国印章艺术馆藏参考,Chinese seal art references,Date not specified in museum record,China,Jade,H. 4 in. (10.2 cm); W. 4 in. (10.2 cm),大都会艺术博物馆开放馆藏对象，仅作为中国印章艺术馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Chinese seal art references and visual reference; it is not a sale listing.,assets/catalog/products/met-41002.jpg,https://www.metmuseum.org/art/collection/search/41002,https://images.metmuseum.org/CRDImages/as/web-large/19_19_19_O1.jpg,The Metropolitan Museum of Art,19.19.19,CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-010,prod_ref_010,61857,青花釉下彩印,Seal,中国印章艺术馆藏参考,Chinese seal art references,18th century,China,Porcelain decorated with blue under the glaze and incised seal characters,H. 1 3/8 in. (3.5 cm); W. 1 3/8 in. (3.5 cm); D. 3/4 in. (1.9 cm),大都会艺术博物馆开放馆藏对象，仅作为中国印章艺术馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Chinese seal art references and visual reference; it is not a sale listing.,assets/catalog/products/met-61857.jpg,https://www.metmuseum.org/art/collection/search/61857,https://images.metmuseum.org/CRDImages/as/web-large/81_6_263.jpg,The Metropolitan Museum of Art,81.6.263,CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-011,prod_ref_011,76453,仙人山水纹竹笔筒,Brush holder decorated with immortals in landscape,竹木文房器物馆藏参考,Bamboo scholar-object references,late 17th–early 18th century,China,"Bamboo, wood rim and stand",H. 6 5/8 in. (16.8 cm); Diam. 4 1/4 in. (10.8 cm); Diam. of rim: 5 3/4 in. (14.6 cm); Diam. of foot: 6 in. (15.2 cm),大都会艺术博物馆开放馆藏对象，仅作为竹木文房器物馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Bamboo scholar-object references and visual reference; it is not a sale listing.,assets/catalog/products/met-76453.jpg,https://www.metmuseum.org/art/collection/search/76453,https://images.metmuseum.org/CRDImages/as/web-large/DP323478.jpg,The Metropolitan Museum of Art,2011.7,CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-012,prod_ref_012,42158,《醉翁亭记》图竹笔筒,Brush holder with scene of “Ode to the Pavilion of the Inebriated Old Man”,竹木文房器物馆藏参考,Bamboo scholar-object references,late 17th century,China,Bamboo with hardwood rim and base,H. 7 in. (17.8 cm); D. 6 1/2 in. (16.5 cm),大都会艺术博物馆开放馆藏对象，仅作为竹木文房器物馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Bamboo scholar-object references and visual reference; it is not a sale listing.,assets/catalog/products/met-42158.jpg,https://www.metmuseum.org/art/collection/search/42158,https://images.metmuseum.org/CRDImages/as/web-large/DT3742.jpg,The Metropolitan Museum of Art,1994.382,CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-013,prod_ref_013,39625,《醉翁亭记》图竹笔筒（早期）,Brush holder with scene of “Ode to the Pavilion of the Inebriated Old Man”,竹木文房器物馆藏参考,Bamboo scholar-object references,early 17th century,China,Bamboo,H. 5 1/4 in. (13.4 cm),大都会艺术博物馆开放馆藏对象，仅作为竹木文房器物馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Bamboo scholar-object references and visual reference; it is not a sale listing.,assets/catalog/products/met-39625.jpg,https://www.metmuseum.org/art/collection/search/39625,https://images.metmuseum.org/CRDImages/as/web-large/DT3697.jpg,The Metropolitan Museum of Art,1994.208,CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-014,prod_ref_014,39626,山水高士图香筒,Incense holder with scholars in a landscape,竹木文房器物馆藏参考,Bamboo scholar-object references,late 16th–early 17th century,China,Bamboo,Overall (including new wooden ends) H. 7 in. (17.8 cm),大都会艺术博物馆开放馆藏对象，仅作为竹木文房器物馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Bamboo scholar-object references and visual reference; it is not a sale listing.,assets/catalog/products/met-39626.jpg,https://www.metmuseum.org/art/collection/search/39626,https://images.metmuseum.org/CRDImages/as/web-large/DP323467.jpg,The Metropolitan Museum of Art,1995.271,CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-015,prod_ref_015,39855,文会图竹笔筒,Brush Holder with Literary Gathering,竹木文房器物馆藏参考,Bamboo scholar-object references,mid-18th century,China,Silver,H. 6 in. (15.2 cm); Diam. of rim: 6 1/4 in. (15.9 cm); Diam. of foot: 6 3/8 in. (16.2 cm),大都会艺术博物馆开放馆藏对象，仅作为竹木文房器物馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Bamboo scholar-object references and visual reference; it is not a sale listing.,assets/catalog/products/met-39855.jpg,https://www.metmuseum.org/art/collection/search/39855,https://images.metmuseum.org/CRDImages/as/web-large/DP-46051-001.jpg,The Metropolitan Museum of Art,2015.500.6.25,CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-016,prod_ref_016,47879,茶壶,Teapot,传统茶生活器物馆藏参考,Traditional tea-lifestyle references,late 17th–early 18th century,China,Porcelain painted with cobalt blue under transparent glaze (Jingdezhen ware); European mount,H. 4 1/4 in. (10.8 cm),大都会艺术博物馆开放馆藏对象，仅作为传统茶生活器物馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Traditional tea-lifestyle references and visual reference; it is not a sale listing.,assets/catalog/products/met-47879.jpg,https://www.metmuseum.org/art/collection/search/47879,https://images.metmuseum.org/CRDImages/as/web-large/DP-14606-040.jpg,The Metropolitan Museum of Art,"79.2.189a, b",CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-017,prod_ref_017,46792,牡丹纹双面茶壶,Double-Sided Teapot with Tree Peonies,传统茶生活器物馆藏参考,Traditional tea-lifestyle references,late 17th–early 18th century,China,Porcelain painted with cobalt blue under and colored enamels over transparent glaze (Jingdezhen ware),H. 6 in. (15.2 cm); W. 5 1/2 in. (14 cm),大都会艺术博物馆开放馆藏对象，仅作为传统茶生活器物馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Traditional tea-lifestyle references and visual reference; it is not a sale listing.,assets/catalog/products/met-46792.jpg,https://www.metmuseum.org/art/collection/search/46792,https://images.metmuseum.org/CRDImages/as/web-large/DP-14606-038.jpg,The Metropolitan Museum of Art,"79.2.1317a, b",CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
