product_id,category,region,price_tier,recipients,scenes,styles,symbolism,customization_types,portability,international_relevance,data_quality_level
prod_ref_019,tea,云南（茶文化语境，非器物产地声明）,high,"[""elder"", ""overseas_partner"", ""business_partner""]","[""business_gift"", ""foreign_exchange"", ""housewarming""]","[""elegant"", ""natural"", ""modern_chinese""]","[""harmony"", ""friendship"", ""blessing""]",[],unknown,unknown,C
prod_ref_020,tea,四川（茶文化语境，非器物产地声明）,collector,"[""elder"", ""overseas_partner"", ""business_partner""]","[""business_gift"", ""foreign_exchange"", ""housewarming""]","[""elegant"", ""natural"", ""modern_chinese""]","[""harmony"", ""friendship"", ""blessing""]",[],unknown,unknown,C
prod_ref_021,woodblock,中国（雕版印刷文化语境）,entry,"[""overseas_partner"", ""teacher"", ""institution""]","[""foreign_exchange"", ""conference_gift"", ""collection""]","[""regional"", ""literati"", ""collectible""]","[""heritage"", ""wisdom"", ""home_culture""]",[],unknown,unknown,C
prod_ref_022,woodblock,中国（雕版印刷文化语境）,mid,"[""overseas_partner"", ""teacher"", ""institution""]","[""foreign_exchange"", ""conference_gift"", ""collection""]","[""regional"", ""literati"", ""collectible""]","[""heritage"", ""wisdom"", ""home_culture""]",[],unknown,unknown,C
prod_ref_023,woodblock,中国（雕版印刷文化语境）,business,"[""overseas_partner"", ""teacher"", ""institution""]","[""foreign_exchange"", ""conference_gift"", ""collection""]","[""regional"", ""literati"", ""collectible""]","[""heritage"", ""wisdom"", ""home_culture""]",[],unknown,unknown,C
prod_ref_024,woodblock,中国（雕版印刷文化语境）,high,"[""overseas_partner"", ""teacher"", ""institution""]","[""foreign_exchange"", ""conference_gift"", ""collection""]","[""regional"", ""literati"", ""collectible""]","[""heritage"", ""wisdom"", ""home_culture""]",[],unknown,unknown,C
prod_ref_025,woodblock,中国（雕版印刷文化语境）,collector,"[""overseas_partner"", ""teacher"", ""institution""]","[""foreign_exchange"", ""conference_gift"", ""collection""]","[""regional"", ""literati"", ""collectible""]","[""heritage"", ""wisdom"", ""home_culture""]",[],unknown,unknown,C
prod_ref_026,calligraphy,中国（书法文化语境）,entry,"[""teacher"", ""institution"", ""collector""]","[""academic_visit"", ""honor_commemoration"", ""collection""]","[""literati"", ""elegant"", ""collectible""]","[""wisdom"", ""heritage"", ""career""]",[],unknown,unknown,C
prod_ref_027,calligraphy,中国（书法文化语境）,mid,"[""teacher"", ""institution"", ""collector""]","[""academic_visit"", ""honor_commemoration"", ""collection""]","[""literati"", ""elegant"", ""collectible""]","[""wisdom"", ""heritage"", ""career""]",[],unknown,unknown,C
prod_ref_028,calligraphy,中国（书法文化语境）,business,"[""teacher"", ""institution"", ""collector""]","[""academic_visit"", ""honor_commemoration"", ""collection""]","[""literati"", ""elegant"", ""collectible""]","[""wisdom"", ""heritage"", ""career""]",[],unknown,unknown,C
prod_ref_029,calligraphy,中国（书法文化语境）,high,"[""teacher"", ""institution"", ""collector""]","[""academic_visit"", ""honor_commemoration"", ""collection""]","[""literati"", ""elegant"", ""collectible""]","[""wisdom"", ""heritage"", ""career""]",[],unknown,unknown,C
prod_ref_030,calligraphy,中国（书法文化语境）,collector,"[""teacher"", ""institution"", ""collector""]","[""academic_visit"", ""honor_commemoration"", ""collection""]","[""literati"", ""elegant"", ""collectible""]","[""wisdom"", ""heritage"", ""career""]",[],unknown,unknown,C
prod_wuhu_iron_guo_dashi,iron_painting,中国安徽芜湖,mid,"[""business_partner"",""institution"",""collector""]","[""business_gift"",""commemoration"",""exhibition""]","[""traditional"",""grand"",""elegant""]","[""heritage"",""resilience""]","[""size"", ""packaging""]",demo_assumption,demo_assumption,C
prod_wuhu_iron_flower_butterfly,iron_painting,中国安徽芜湖,business,"[""business_partner"",""institution"",""collector""]","[""business_gift"",""commemoration"",""exhibition""]","[""traditional"",""elegant"",""grand""]","[""heritage"",""harmony""]",[],demo_assumption,demo_assumption,C
prod_wuhu_iron_bamboo_screen,iron_painting,中国安徽芜湖,business,"[""business_partner"",""institution"",""collector""]","[""business_gift"",""commemoration"",""exhibition""]","[""traditional"",""elegant"",""minimal""]","[""heritage"",""resilience""]",[],demo_assumption,demo_assumption,C
prod_wuhu_iron_four_seasons,iron_painting,中国安徽芜湖,collector,"[""institution"",""collector""]","[""exhibition"",""commemoration""]","[""traditional"",""grand"",""elegant""]","[""heritage"",""harmony""]",[],demo_assumption,demo_assumption,C
